listing_url,listing_price,listing_date,address,dwelling_type,comparable_sold_price_1,comparable_list_price_1,comparable_sold_date_1,comparable_sold_price_2,comparable_list_price_2,comparable_sold_date_2,comparable_sold_price_3,comparable_list_price_3,comparable_sold_date_3,comparable_sold_price_4,comparable_list_price_4,comparable_sold_date_4,comparable_sold_price_5,comparable_list_price_5,comparable_sold_date_5,listing_features,listing_description,listing_extras
https://toronto.listing.ca/168-bonis-ave-1211.E4349723.htm#15-1dr,"$899,900",02/24/2019,"168 Bonis Ave 1211, Tam O'Shanter-Sullivan, Toronto M1T3V6","Apartment, Condo Apartment7 Rooms Total, 1 Kitchen2 Parking Spaces","$605,000","$625,000",10/12/2018,"$585,000","$588,000",08/03/2018,"$578,000","$593,000",07/03/2018,"$525,000","$550,000",06/05/2018,"$551,000","$568,000",01/12/2019,"[u'Clear View, Golf, Library, Park, Public TransitNone BasementConcrete Exterior']","[u'*Luxurious ""Greens At Tam O\'shanter\' Built By Tridel *Over 2000Sf Of Spacious Condo Living *Rare Corner Unit Withunobstructed Golf Course View *Sun Filled Split Bedroom Layout *Gas Fireplace *Updated Faucets *Laminate Flrs Throughout *Granite Countertops & Vanity *Freshly Painted *2 Side By Side Parking,Close To Elevator *Private Hobby Room Withelectrical Outlet, Approx 160Sf *Excellent Rec Facilities *Close To Parks, Library, Shopping, Ttc & Highway 401']","[u""Fridge, Stove, B/I Dishwasher, Washer, Dryer, Existing Electrical Light Fixtures, Existing Window Coverings, Built-In Murphy Bed, Desk & Storage In Den, Reverse Osmosis Water Filer. *Move In Condition. *Don't Miss This Rare Opportunity""]"
https://toronto.listing.ca/3300-don-mills-rd-310.C4359682.htm#15-oy,"$425,000",02/24/2019,"3300 Don Mills Rd 310, Don Valley Village, Toronto M2J4X7","Apartment, Condo Apartment5 Rooms Total, 1 Kitchen1 Parking Space","$456,000","$460,000",01/11/2019,"$387,000","$399,900",12/08/2018,"$396,000","$408,000",11/25/2018,"$420,000","$439,000",08/30/2018,"$408,000","$424,900",08/10/2018,[u'Public TransitNone BasementConcrete Exterior'],"[u'***Bright And Spacious 2 Bedroom 2 Washroom***Laminate Floors In Living Room, Ceramic Foyer***Built By Luxury/Quality Tridel*** Excellent Location, Minutes To 404, 401, Shopping, Ttc At The Door, Walk To Seneca College**Outdoor Pool, Tennis Court, Exercise Room, Party Room, Sauna. Plenty Of Visitor Parking. Large Master Bedroom With Large Walk In Closet. Central Air Conditioning***Fantastic Investment Opportunity***']","[u'Fridge, Stove, B/I Dishwasher, Washer, Dryer, All Appliances As Is Condition. Pantry, All Electrical Light Fixtures. Build In Shelves In Some Closets, Central Air Conditioning.']"
https://toronto.listing.ca/65-east-liberty-st-627.C4353207.htm#15-16k,"$479,900",02/24/2019,"65 East Liberty St 627, Niagara, Toronto M6K3R4","Apartment, Condo Apartment4 Rooms Total, 1 Kitchen1 Parking Space","$588,000","$599,900",01/28/2019,"$555,000","$500,000",01/29/2019,"$496,500","$439,900",01/14/2019,"$525,000","$529,900",08/21/2018,"$570,000","$545,000",01/17/2019,"[u'Arts Centre, Clear View, Lake/Pond, Park, Public Transit, SchoolNone BasementBrick Exterior']","[u""Liberty Village Gem! Perfect Pied 'Eterre, Or Investment! Excellent Opportunity To Own In One Of The Hottest Neighbourhoods In The City! Lovely, Functional Layout! Parking And Locker Included! Balcony! Clear View To Park! Current Tenant Paying $1883.30. Vacating End Of Feb. Short Walk To Restaurants * Banks * Ttc & Street Car *24 Hrs Supermarket * 24 Hrs Concierge * 22,000 Sq Ft Resort-Style Rec Facilities * W/25 Foot Rooftop * Lakeview Club & Terrace""]","[u""Stainless Steel: Fridge - Stove - D/W - Microwave/Hood * W/D * Window Blinds * Elf's * Amenities Inc: 24Hr Concierge, Indoor Pool, Gym, Yoga Studio, Billiards, Theatre, Rooftop Terrace, Guest Suites,Visitor Parking & Party Rm.""]"
https://toronto.listing.ca/45-skylark-rd.W4341830.htm#15-1r3,"$949,000",02/24/2019,"45 Skylark Rd, Lambton Baby Point, Toronto M6S4M5","2-Storey, Semi-Detached House6 + 3 Rooms Total, 1 Kitchen3 Parking Spaces","$659,000","$699,000",01/25/2019,"$975,000","$929,000",12/11/2018,"$844,000","$849,000",10/31/2018,"$830,000","$799,000",06/05/2018,"$855,000","$899,000",07/24/2018,"[u'Grnbelt/Conserv, Library, Park, Public Transit, River/StreamFinished BasementBrick Exterior']","[u'Spring Beckons! And Welcome To 45 Skylark. Live Your Best Life Here Within The Humber Valley Community Of Wondrous People, Wildlife, River Trails, And A Place For The Kids To Play. A Stunning Complete Renovation On A Picturesque Lot, 3 Bedrooms, 2 Baths, This Is The Street You Want To Live On, What Was Once A Local Secret Is A Secret No More. Get In Now And You Will Never Want To Leave']","[u'New Roof, Health Smart Windows, Hardwood Floors, Stainless Steel G/E Fridge, Stove, Built In Dishwasher, Range Hood, Microwave, Granite Counters, Custom Backsplash, European Shower In Upper 4 Piece Bath, New G/E Washer Dryer, Shed,']"
https://toronto.listing.ca/88-north-bonnington-ave.E4252454.htm#15-2n1,"$680,000",02/24/2019,"88 North Bonnington Ave, Clairlea-Birchmount, Toronto M1K1X6","Bungalow, Detached House4 Rooms Total, 1 Kitchen4 Parking Spaces","$630,000","$649,000",03/18/2018,"$735,000","$719,900",12/17/2018,"$630,000","$649,900",05/09/2018,"$689,000","$689,000",02/26/2018,"$728,000","$749,900",05/31/2018,"[u'Public TransitFull, Sep Entrance BasementAlum Siding, Stone Exterior']","[u'This Rarely Offered, Lovingly Maintained  Bungalow House Is Situated On An Extra Large Lot, Hardwood Flooring, Bright And Spacious Layout.  Long Driveway Can Park 5 Cars. Only 2 Km To Go Train For Easy Access To Downtown. Steps To Stores, Schools And Ttc. New Roof (18), New Washer (17) And Dryer (17). Window Replaced Thru Out The Years. Large Detached Garage With Fully Fenced Backyard With Mature Cedar Trees For Maximum Privacy. Move In And Enjoy.']","[u'All Electrical Lighting Fixtures, Fridge, Stove, Bosch Stainless Steel Dishwasher (15), Washer (17), Dryer (17), New Roof (18) Central A/C (14), Window Blinds (Not Curtains), Auto Garage Door Opener, Hot Water Tank (Owned), Custom Kitchen Cabinets (14) New Painted Basement.']"
https://toronto.listing.ca/26-melva-cres.E4357814.htm#15-uc,"$799,000",02/24/2019,"26 Melva Cres, Agincourt North, Toronto M1V1A3","Backsplit 5, Detached House8 + 4 Rooms Total, 1 + 1 Kitchens4 Parking Spaces","$890,000","$919,900",06/22/2018,"$970,000","$899,000",05/15/2018,"$1,025,000","$1,099,000",09/06/2018,"$928,000","$968,000",08/09/2018,"$980,000","$999,000",07/05/2018,"[u'Library, Park, Public Transit, SchoolFinished BasementBrick, Wood Exterior']","[u""Meticulously Maintained Detached Back-Split House, At Sought After Agincourt North, Family Friendly Neighborhood. Large 4 Brs W/Master Ensuite,  Main Fl Cathedral Ceiling Living Room Withskylight. Formal Dinning Room, Cozy Family Room Withfireplace, W/O To Huge Deck, Eat-In Kitchen, Quartz Counter-Top, Drinkable Water Filtration Sys, Yoga/Gym Room, 2 Extra Brs And 1 Add'l Kitchen At Lower Level. Beautiful Curb View Yard And Professional Finish Driveway.""]","[u'Stove, Fridge, B/I Dw, Range Hood, Main Fl Washer/Dryer, Bsmt Washer, Basement Kitchen Appliances, 3-Light Pendant At Eat-In Kitchen And Central Vacuum Are As Is. Existing Windows Covering, Existing Electrical Lighting Fixtures.']"
https://toronto.listing.ca/710-humberwood-blvd-215.W4327917.htm#15-27j,"$349,900",02/24/2019,"710 Humberwood Blvd 215, West Humber-Clairville, Toronto M9W7J5","Apartment, Condo Apartment4 Rooms Total, 1 Kitchen1 Parking Space","$353,000","$362,500",01/30/2019,"$407,000","$409,900",01/31/2019,"$361,000","$367,000",01/15/2019,"$355,000","$364,000",12/13/2018,"$383,500","$384,900",11/28/2018,"[u'Clear View, HospitalNone BasementConcrete Exterior']","[u'Welcome To A Luxury 1 Bedroom Condo With 24 Hr Concierge. The Mansion Of Humberwood By Tridel. Amenities Include: Guest Suites, Pool, Sauna, Whirlpool, Tennis Court, Billiards, Darts And Cards Room, Aerobics, Exercise Rooms, 2 Party Rooms. Minutes To Humber College/Guelph University.Fabulous Humberwood Club Recreation And Fitness Centre, Provides Recreation And Health To Your Family Members.']","[u'Fridge, Stove, B/I Dishwasher, Washer&Dryer;, 1 Parking And Locker Included.']"
https://toronto.listing.ca/17-jasmine-rd.W4343102.htm#15-1pd,"$1,878,000",02/24/2019,"17 Jasmine Rd, Humberlea-Pelmo Park W5, Toronto M9M2P8","2-Storey, Detached House9 + 3 Rooms Total, 1 Kitchen4 Parking Spaces","$1,470,000","$1,498,000",10/13/2018,"$1,240,000","$1,285,800",12/28/2018,"$1,610,000","$1,579,000",06/11/2018,"$1,285,000","$1,299,000",08/19/2018,"$850,000","$899,000",06/04/2018,"[u'Golf, Park, River/Stream, SchoolFin W/O BasementStone, Stucco/Plaster Exterior']","[u'Breathtaking Newly Built Custom Home That Glistens Withnatural Sunlight. Hrdwd Flrs T/O, 10Ft Smooth Ceilings, Crown Moulding, Waffled Ceilings, Pot Lights, Gas Fireplaces, Butler Pantry. Lrg Eat-In Kitch Withgranite Counter, Centre Island, Breakfast Area & B/I Stainless Steel Appls. Mstr Withdouble Dr Entry, Custom Organizers, Stunning Spa-Like 5Pc Ensuite. All Bedrooms Withensuites, W/I Closet & Custom Organizers. Prodigious Fin Basement Suite Withsep Entrance. Fully Fenced Yard.']","[u'Stainless Steel Appls: Lg Fridge, Lg Dishwasher, Kitchenaid Double Deck Oven, Kitchenaid Gas Cookstop, B/I Microwave. B/I Camera, Security System. Bbq Gas Line. Gdo.']"
https://toronto.listing.ca/666-beresford-ave.W4318543.htm#15-2bs,"$1,999,000",02/24/2019,"666 Beresford Ave, Runnymede-Bloor West Village, Toronto M6S3C5","2-Storey, Detached House9 + 4 Rooms Total, 1 + 1 Kitchens1 Parking Space","$1,460,000","$1,298,000",11/13/2018,"$1,500,000","$1,249,000",01/23/2019,"$2,354,400","$2,099,000",03/07/2018,"$1,550,000","$1,299,000",06/06/2018,"$1,685,000","$1,699,900",05/18/2018,"[u'Apartment, Finished BasementStucco/Plaster Exterior']","[u'High Demand Area, Minutes Walk To Bus Stop, Minutes To Subway, Close All Amenities, Close To High Park, Newly Custom Built Detached 2 Storey 4 Bedrooms 2 Units, 9Ft, Ceiling, Each Bedroom Has Own Ensuite, Modern Concept Design, Modern Kitchen With High Quality Stainless Steel Appliances, Hardwood Floor Throughout, 2Nd Floor Laundry, 1St Flr Office With Ensuite, Huge Central Island, Legally Basement 2 Bedrooms Apartment With Separate Entrance, Skylite']","[u'Stainless Steel Appliances In Main Floor Kitchen & Basement Kitchen, Two Sets Of Washer & Dryer, Furnace, Cac, All Light Fixtures,']"
https://toronto.listing.ca/117-gerrard-st-ph12.C4359965.htm#15-o4,"$549,000",02/24/2019,"117 Gerrard St Ph12, Church-Yonge Corridor, Toronto M5B2L4","Apartment, Condo Apartment5 Rooms Total, 1 Kitchen1 Parking Space","$425,000","$425,000",01/17/2019,"$505,000","$479,900",12/14/2018,"$485,000","$489,000",10/17/2018,"$416,000","$399,900",03/22/2018,"$389,000","$314,900",03/17/2018,"[u'Clear View, Hospital, Park, Place Of Worship, Public Transit, SchoolNone BasementOther Exterior']","[u'Better Than New*Fully Renovated & Upgraded*All Good Materials Used*Almost $50,000 Spent In This Beautiful Penthouse W/Great Views Of Downtown & Sunset*Spacious Combined Living/Dining Rm,Large Bedroom W/Walk-In Closet,Large Den (Presently Used As 2Nd Br)*Well Managed Building W/24 Hrs Concierge,Amenities Including:Rooftop Garden,Bbq,Exercise Rm,Billiards,Party Rm & More... Next To Ryerson, Steps To Ttc,Shopping & U Of T.']","[u'New Kitchen*New Bath W/Jacuzzi*New Wood Fl*New Ceramic Fl*New Paints*New Appliances: Fridge,Stove,B/I Dishwasher,Front Load Washer & Dryer,New Custom Window Blinds,Upg Electric Light Fixtures,One Parking.']"
