listing_url,OFFICE,FAMILY ROOM,DINING ROOM,DEN,REC,FOYER,2ND BEDROOM,BATHROOM,BATHROOMS,LIBRARY,EXERCISE,KITCHEN,LIVING ROOM,MASTER BEDROOM,STUDY,4TH BEDROOM,3RD BEDROOM,OTHER,LEGAL DESCRIPTION,5TH BEDROOM,SUNROOM,GREAT ROOM,LAUNDRY,SITTING,SOLARIUM,LOCKER,BEDROOM,BREAKFAST,MEDIA/ENT,UTILITY
https://toronto.listing.ca/168-bonis-ave-1211.E4349723.htm#15-1dr,,,"Flat Level, 6.51m x 4.00mLaminate, W/O To Balcony, Open Concept","Flat Level, 3.90m x 3.40mLaminate, Overlook Golf Course, B/I Shelves",,,"Flat Level, 3.96m x 3.44mLaminate, W/W Closet, Window",,6-piece on flat level3-piece on flat level,,,"Flat Level, 3.68m x 2.78mCeramic Floor, Granite Counter, French Doors","Flat Level, 3.76m x 3.65mLaminate, Gas Fireplace, Bow Window","Flat Level, 5.15m x 3.70mLaminate, His/Hers Closets, 6 Pc Ensuite",,,,,,,,,"Flat Level, 3.31m x 1.74mCeramic Floor, B/I Shelves, Separate Rm",,,"Bsmt Level, 5.00m x 2.93mVinyl Floor, Finished",,"Flat Level, 2.64m x 2.43mCeramic Floor, W/O To Balcony, Overlook Golf Course",,
https://toronto.listing.ca/3300-don-mills-rd-310.C4359682.htm#15-oy,,,"Flat Level, 3.81m x 3.58m",,,,"Flat Level, 3.65m x 3.00mB/I Desk, O/Looks Garden",,,,,"Flat Level, 4.81m x 2.60mCeramic Floor, Pantry","Flat Level, 7.00m x 3.42mLaminate, W/O To Balcony, West View","Flat Level, 4.87m x 3.41m2 Pc Bath, W/I Closet, O/Looks Garden",,,,,,,,,"Flat Level, 2.60m x 1.20m",,,"Flat Level, 3.05m x 1.28m",,,,
https://toronto.listing.ca/65-east-liberty-st-627.C4353207.htm#15-16k,,,"Main Level, 4.52m x 2.50mLaminate, Combined W/Living, Open Concept",,,,,,4-piece on main level,,,"Main LevelLaminate, Stainless Steel Appl, Granite Counter","Main Level, 4.52m x 2.50mLaminate, Combined W/Dining, W/O To Balcony",,,,,,,,,,,,,,"Main Level, 2.52m x 3.20mLaminate, Closet",,,
https://toronto.listing.ca/45-skylark-rd.W4341830.htm#15-1r3,,,"Main Level, 5.79m x 2.74mCombined W/Living, Hardwood Floor",,"Bsmt Level, 4.57m x 4.57mHardwood Floor",,"2nd Level, 3.17m x 2.77mHardwood Floor, Large Closet, O/Looks Backyard",,4-piece on 2nd level2-piece on bsmt level,,,"Main Level, 3.05m x 2.74mCustom Backsplash, Granite Counter, Stainless Steel Appl","Main Level, 5.79m x 2.74mCombined W/Dining, Hardwood Floor, Large Window","2nd Level, 3.96m x 2.74mHardwood Floor, Large Closet, O/Looks Frontyard",,,"2nd Level, 2.77m x 2.50mHardwood Floor, Large Closet, Window",,,,"Main Level, 3.35m x 2.74mO/Looks Garden",,"Bsmt Level, 2.13m x 1.52m2 Pc Bath",,,,,,,
https://toronto.listing.ca/88-north-bonnington-ave.E4252454.htm#15-2n1,,,,,,,"Flat Level, 2.43m x 2.13mHardwood Floor, Window, Closet",,,,,"Flat Level, 3.65m x 2.36mTile Floor, Double Sink, Backsplash","Ground Level, 4.78m x 4.00mHardwood Floor, Combined W/Dining, Window","Flat Level, 3.04m x 3.04mHardwood Floor, Window, Closet",,,,,,,,,,,,,,,,
https://toronto.listing.ca/26-melva-cres.E4357814.htm#15-uc,,"Ground Level, 4.61m x 3.84mHardwood Floor, Fireplace, W/O To Deck","Ground Level, 4.55m x 3.05mHardwood Floor, French Doors, Window",,"Lower Level, 5.18m x 3.82mLaminate, Window, Roughed-In Fireplace",,"Upper Level, 3.61m x 2.95mHardwood Floor, Large Closet, Ceiling Fan",,4-piece on upper level2-piece on main level3-piece on lower level,,,"Ground Level, 5.32m x 2.80mCeramic Floor, Eat-In Kitchen, O/Looks Backyard","Main Level, 5.11m x 3.92mHardwood Floor, Cathedral Ceiling, Skylight","Upper Level, 4.80m x 4.10mHardwood Floor, 4 Pc Bath, Ceiling Fan",,"Upper Level, 3.42m x 3.39mHardwood Floor, Large Closet, Ceiling Fan","Upper Level, 3.93m x 3.40mHardwood Floor, Large Closet, Ceiling Fan",,,"Bsmt LevelLaminate, 3 Pc Bath, Window",,,,,,,"Bsmt LevelLaminate, Window",,,
https://toronto.listing.ca/710-humberwood-blvd-215.W4327917.htm#15-27j,,,"Main Level, 5.49m x 3.20mCombined W/Living",,,,,,,,,"Main Level, 2.44m x 2.44mCeramic Floor, Breakfast Bar","Main Level, 5.49m x 3.20mCombined W/Dining, W/O To Balcony","Main Level, 3.96m x 2.74mBroadloom, W/I Closet",,,,,,,,,,,,,,,,
https://toronto.listing.ca/17-jasmine-rd.W4343102.htm#15-1pd,,"Main Level, 4.30m x 5.49mHardwood Floor, Pot Lights, Gas Fireplace","Main Level, 3.96m x 6.19mHardwood Floor, Pot Lights, Combined W/Living",,"Bsmt Level, 5.61m x 11.13mPot Lights, French Doors",,"Bsmt Level, 3.51m x 5.09mPot Lights",,2-piece on main level5-piece on 2nd level4-piece on 2nd level3-piece on 2nd level4-piece on bsmt level,"Main Level, 2.77m x 3.44mHardwood Floor, Pot Lights, French Doors",,"Main Level, 5.49m x 6.04mBreakfast Area, Centre Island, B/I Appliances","Main Level, 3.96m x 6.19mHardwood Floor, Pot Lights, Gas Fireplace","2nd Level, 5.61m x 6.40mHardwood Floor, 5 Pc Ensuite, W/I Closet",,"2nd Level, 3.25m x 3.51mHardwood Floor, 4 Pc Ensuite, W/I Closet","2nd Level, 3.75m x 4.57mHardwood Floor, 4 Pc Ensuite, W/I Closet",,,,,,,,,,"Bsmt Level, 4.08m x 4.18mPot Lights, Window",,,
https://toronto.listing.ca/666-beresford-ave.W4318543.htm#15-2bs,"Main Level, 3.35m x 3.07mWood Floor, 4 Pc Ensuite","Main Level, 5.49m x 3.67mWood Floor, W/O To Deck","Main Level, 8.41m x 4.08mWood Floor, Combined W/Living",,,,"2nd Level, 3.98m x 3.81mWood Floor, 3 Pc Ensuite",,4-piece on 2nd level5-piece on 2nd level4-piece on main level2-piece on main level4-piece on bsmt level,,,"Main Level, 5.59m x 3.18mWood Floor, Open Concept, Centre Island","Bsmt Level, 4.46m x 4.31mLaminate, Window","2nd Level, 4.27m x 3.96mWood Floor, 5 Pc Ensuite, W/I Closet",,"2nd Level, 3.04m x 2.92mWood Floor, 4 Pc Ensuite","2nd Level, 3.04m x 2.92mWood Floor, 4 Pc Ensuite",,,,,,,,,,"Bsmt Level, 3.56m x 2.69mLaminate, Window",,,
https://toronto.listing.ca/117-gerrard-st-ph12.C4359965.htm#15-o4,,,"Flat Level, 7.09m x 3.32mWood Floor, Combined W/Living","Flat Level, 2.85m x 2.24mWood Floor, Sliding Doors, Picture Window",,,,,4-piece on flat level,,,"Flat Level, 2.34m x 2.30mCeramic Floor, Modern Kitchen","Flat Level, 7.09m x 3.32mWood Floor, Picture Window, West View","Flat Level, 3.25m x 3.02mWood Floor, W/I Closet",,,,,,,,,,,,,,,,
